stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2887,,Dolo Ospedale,,45.421734,12.072703,,,,,,
2888,,P.zza Marconi,,45.384575,12.071853,,,,,,
2889,,P.zza Marconi,,45.384869,12.071986,,,,,,
2891,,Civico 111 (v.Malconton),,45.592594,12.195349,,,,,,
2892,,Zero Branco -Capolinea,,45.602039,12.166902,,,,,,
2894,,Civico 205,,45.399258,12.051648,,,,,,
2895,,Civico 205,,45.399483,12.052189,,,,,,
2896,,Incr. via Bosello,,45.376850,12.046864,,,,,,
2897,,Incr. via Bosello,,45.376560,12.046856,,,,,,
2902,,dopo il ponte,,45.154152,12.007113,,,,,,
2903,,Civico 13,,45.193882,12.042299,,,,,,
2904,,Civico 13,,45.193748,12.041816,,,,,,
2908,,bivio Rosara,,45.289772,12.130206,,,,,,
2909,,bivio Rosara,,45.290257,12.130670,,,,,,
2910,,bivio Lova,,45.327183,12.133496,,,,,,
2911,,bivio Lova,,45.328331,12.134330,,,,,,
2912,,Canale Piccolo,,45.340668,12.135137,,,,,,
2913,,Canale Piccolo,,45.341278,12.135486,,,,,,
2914,,bivio Campagna Lupia,,45.368683,12.138467,,,,,,
2915,,bivio Calcroci,,45.390774,12.140006,,,,,,
2916,,bivio Campagna Lupia,,45.366272,12.137600,,,,,,
2917,,bivio Calcroci,,45.389896,12.139701,,,,,,
2918,,Lugo - Capolinea,,45.372337,12.134935,,,,,,
2919,,dopo capolinea,,45.377441,12.132146,,,,,,
2920,,dopo chiesa,,45.377357,12.131877,,,,,,
2921,,Chiesa,,45.381790,12.129640,,,,,,
2922,,Lugo Chiesa,,45.382214,12.129938,,,,,,
2923,,Prima fermata,,45.384808,12.127797,,,,,,
2924,,dopo chiesa,,45.384968,12.128073,,,,,,
2925,,Istituto Alberghiero,,45.047939,12.050676,,,,,,
2926,,Istituto Alberghiero,,45.049286,12.050200,,,,,,
2927,,Capitello Madonna,,45.094730,12.113678,,,,,,
2928,,Prima del ponte,,45.102200,12.138656,,,,,,
2929,,Punta Pali,,45.102882,12.147656,,,,,,
2930,,Civico 6  - Ca' Briani,,45.116455,12.138671,,,,,,
2931,,Civico 21  (molino),,45.120525,12.112333,,,,,,
2932,,Civico 14 (v.Ca'Brandin),,45.124195,12.084741,,,,,,
2937,,Incr.v.Madonna Marina,,45.196861,12.281726,,,,,,
2938,,Incr. v.Venturini,,45.196671,12.281079,,,,,,
2939,,Chiesa Scaltenigo,,45.470692,12.080170,,,,,,
2940,,Inc. Nuova Romea,,45.205032,12.092971,,,,,,
2941,,Inc. Nuova Romea,,45.205227,12.093060,,,,,,
2943,,Civico 161 (v.Vivaldi),,45.458946,11.996826,,,,,,
2944,,Civico 180 (v.Vivaldi),,45.459103,11.996670,,,,,,
2945,,Arino Ferrovia,,45.442768,12.045788,,,,,,
2946,,Arino Ferrovia,,45.442375,12.046218,,,,,,
2950,,Mogliano via Pia,,45.560356,12.234147,,,,,,
2951,,Mogliano - Centro Civico,,45.560093,12.234925,,,,,,
2972,,Incr. via Bellini,,45.553814,12.262478,,,,,,
2973,,Incr. via Bellini,,45.553616,12.263330,,,,,,
2976,,Edicola,,45.554337,12.252638,,,,,,
2977,,Edicola,,45.554138,12.253148,,,,,,
2978,,Coop,,45.554420,12.251034,,,,,,
2979,,Coop,,45.554256,12.251183,,,,,,
2981,,Maerne FS,,45.518055,12.151640,,,,,,
2983,,Carpenedo F S,,45.506325,12.247850,,,,,,
2984,,Carpenedo F S,,45.506321,12.248304,,,,,,
2985,,Campi Sportivi,,45.555637,12.246198,,,,,,
2986,,Campi Sportivi,,45.556496,12.246397,,,,,,
2989,,bivio S.Margherita,,45.246563,12.139308,,,,,,
2990,,bivio S.Margherita,,45.246979,12.139359,,,,,,
2991,,Incr.v.Argine Sinistro,,45.239376,12.147609,,,,,,
2992,,Incr. via Argine Sinistro,,45.239906,12.147633,,,,,,
2993,,Distributore Esso,,45.236145,12.156653,,,,,,
2994,,Distributore Esso,,45.235786,12.156372,,,,,,
2995,,Incr. Conche,,45.233654,12.165511,,,,,,
2996,,Incr. Conche,,45.233299,12.165479,,,,,,
2997,,Mercatone 1,,45.226418,12.182385,,,,,,
2998,,Mercatone 1,,45.226807,12.182366,,,,,,
2999,,Incr. Valli,,45.224545,12.192207,,,,,,
3000,,Incr. Valli,,45.224964,12.192038,,,,,,
3001,,Biblioteca (ExtraUrbano),,45.215088,12.276934,,,,,,
3002,,Ca' Bianca - Capolinea,,45.194939,12.197345,,,,,,
3003,,Civico 15 - Cive',,45.210289,12.148406,,,,,,
3006,,Cive' - Capolinea,,45.209270,12.150584,,,,,,
3007,,Civico 102 B,,45.204948,12.149303,,,,,,
3008,,Civico 102 B,,45.204914,12.148965,,,,,,
3009,,Civico 112 (v.Mira),,45.200138,12.147387,,,,,,
3010,,Civico 112 (v.Mira),,45.200039,12.147732,,,,,,
3011,,Incr. via Sista Alta,,45.196125,12.148224,,,,,,
3012,,Incr. via Sista Alta,,45.196659,12.148109,,,,,,
3013,,dopo bivio Sista,,45.193928,12.154531,,,,,,
3014,,dopo bivio Sista,,45.194065,12.154216,,,,,,
3015,,Civico 38,,45.194149,12.164652,,,,,,
3016,,Civico 38,,45.194389,12.164145,,,,,,
3017,,Civico 167,,45.194996,12.175238,,,,,,
3018,,Civico 167,,45.194630,12.175039,,,,,,
3019,,Ca' Bianca  (Idrovia),,45.190765,12.194801,,,,,,
3020,,Ca' Bianca  (v.Amolara),,45.191376,12.193472,,,,,,
3021,,Ca' Bianca  (Case Ina),,45.193466,12.198726,,,,,,
